Time (s),Channel 1 (V)
-7.60E-05,-0.002007572
-7.59E-05,-0.002676345
-7.59E-05,-0.002341958
-7.59E-05,-0.002007572
-7.59E-05,-0.001338799
-7.59E-05,-0.002341958
-7.58E-05,-0.001673185
-7.58E-05,-0.002007572
-7.58E-05,-0.003010732
-7.58E-05,-0.002007572
-7.58E-05,-0.003010732
-7.57E-05,-0.001673185
-7.57E-05,-0.002676345
-7.57E-05,-0.003010732
-7.57E-05,-0.002007572
-7.57E-05,-0.001338799
-7.56E-05,-0.002341958
-7.56E-05,-0.002341958
-7.56E-05,-0.002007572
-7.56E-05,-0.001338799
-7.56E-05,-0.002007572
-7.55E-05,-0.002341958
-7.55E-05,-0.002676345
-7.55E-05,-0.002007572
-7.55E-05,-0.003010732
-7.55E-05,-0.002007572
-7.54E-05,-0.001673185
-7.54E-05,-0.001338799
-7.54E-05,-0.001673185
-7.54E-05,-0.002007572
-7.54E-05,-0.002341958
-7.53E-05,-0.002007572
-7.53E-05,-0.002007572
-7.53E-05,-0.002007572
-7.53E-05,-0.002341958
-7.53E-05,-0.001004412
-7.52E-05,-0.001673185
-7.52E-05,-0.002007572
-7.52E-05,-0.003010732
-7.52E-05,-0.003010732
-7.52E-05,-0.002007572
-7.51E-05,-0.002007572
-7.51E-05,-0.003010732
-7.51E-05,-0.002676345
-7.51E-05,-0.003010732
-7.51E-05,-0.002676345
-7.50E-05,-0.001673185
-7.50E-05,-0.002341958
-7.50E-05,-0.002676345
-7.50E-05,-0.002341958
-7.50E-05,-0.002007572
-7.49E-05,-0.001673185
-7.49E-05,-0.002341958
-7.49E-05,-0.002676345
-7.49E-05,-0.002341958
-7.49E-05,-0.002341958
-7.48E-05,-0.002341958
-7.48E-05,-0.002341958
-7.48E-05,-0.001004412
-7.48E-05,-0.002676345
-7.48E-05,-0.002676345
-7.47E-05,-0.002341958
-7.47E-05,-0.002676345
-7.47E-05,-0.002341958
-7.47E-05,-0.002341958
-7.47E-05,-0.002676345
-7.46E-05,-0.002341958
-7.46E-05,-0.003345118
-7.46E-05,-0.003010732
-7.46E-05,-0.002341958
-7.46E-05,-0.002007572
-7.45E-05,-0.002007572
-7.45E-05,-0.002676345
-7.45E-05,-0.002676345
-7.45E-05,-0.002007572
-7.45E-05,-0.001673185
-7.44E-05,-0.003345118
-7.44E-05,-0.002007572
-7.44E-05,-0.002676345
-7.44E-05,-0.001673185
-7.44E-05,-0.001338799
-7.43E-05,-0.002007572
-7.43E-05,-0.001673185
-7.43E-05,-0.001004412
-7.43E-05,-0.003010732
-7.43E-05,-0.001673185
-7.42E-05,-0.001673185
-7.42E-05,-0.001338799
-7.42E-05,-0.001338799
-7.42E-05,-0.002341958
-7.42E-05,-0.001338799
-7.41E-05,-0.002341958
-7.41E-05,-0.001338799
-7.41E-05,-0.001004412
-7.41E-05,0.001670681
-7.41E-05,-0.008026531
-7.40E-05,0.000333135
-7.40E-05,-0.000670025
-7.40E-05,0.000333135
-7.40E-05,-0.006020212
-7.40E-05,-0.001338799
-7.39E-05,0.001001908
-7.39E-05,-0.002341958
-7.39E-05,-0.004013892
-7.39E-05,0.000667521
-7.39E-05,0.000667521
-7.38E-05,-0.009029691
-7.38E-05,0.003677001
-7.38E-05,-0.004682665
-7.38E-05,-0.001004412
-7.38E-05,-0.003345118
-7.37E-05,-0.003010732
-7.37E-05,-0.001673185
-7.37E-05,-0.003010732
-7.37E-05,-0.001004412
-7.37E-05,-0.001673185
-7.36E-05,-0.001004412
-7.36E-05,-0.002341958
-7.36E-05,-0.002341958
-7.36E-05,-0.001673185
-7.36E-05,-0.000670025
-7.35E-05,-0.002007572
-7.35E-05,-0.001004412
-7.35E-05,-0.001673185
-7.35E-05,-0.002676345
-7.35E-05,-0.001673185
-7.34E-05,-0.003010732
-7.34E-05,-0.002676345
-7.34E-05,-0.001004412
-7.34E-05,-0.002341958
-7.34E-05,-0.002007572
-7.33E-05,-0.002341958
-7.33E-05,-0.002341958
-7.33E-05,-0.003345118
-7.33E-05,-0.002007572
-7.33E-05,-0.003010732
-7.32E-05,-0.003010732
-7.32E-05,-0.002341958
-7.32E-05,-0.002007572
-7.32E-05,-0.003010732
-7.32E-05,-0.002676345
-7.31E-05,-0.001004412
-7.31E-05,-0.003010732
-7.31E-05,-0.001338799
-7.31E-05,-0.002007572
-7.31E-05,-0.001338799
-7.30E-05,-0.002341958
-7.30E-05,-0.002341958
-7.30E-05,-0.001004412
-7.30E-05,-0.002676345
-7.30E-05,-0.001338799
-7.29E-05,-0.002007572
-7.29E-05,-0.002676345
-7.29E-05,-0.002341958
-7.29E-05,-0.002676345
-7.29E-05,-0.002007572
-7.28E-05,-0.001338799
-7.28E-05,-0.002007572
-7.28E-05,-0.002007572
-7.28E-05,-0.002007572
-7.28E-05,-0.002341958
-7.27E-05,-0.002007572
-7.27E-05,-0.002007572
-7.27E-05,-0.002007572
-7.27E-05,-0.001673185
-7.27E-05,-0.003010732
-7.26E-05,-0.001673185
-7.26E-05,-0.002341958
-7.26E-05,-0.003010732
-7.26E-05,-0.002341958
-7.26E-05,-0.002341958
-7.25E-05,-0.002341958
-7.25E-05,-0.002007572
-7.25E-05,-0.002341958
-7.25E-05,-0.001673185
-7.25E-05,-0.003010732
-7.24E-05,-0.003010732
-7.24E-05,-0.002676345
-7.24E-05,-0.001338799
-7.24E-05,-0.002341958
-7.24E-05,-0.002007572
-7.23E-05,-0.002007572
-7.23E-05,-0.001673185
-7.23E-05,-0.001338799
-7.23E-05,-0.001338799
-7.23E-05,-0.002341958
-7.22E-05,-0.002341958
-7.22E-05,-0.002341958
-7.22E-05,-0.003010732
-7.22E-05,-0.002341958
-7.22E-05,-0.002007572
-7.21E-05,-0.002007572
-7.21E-05,-0.001673185
-7.21E-05,-0.002007572
-7.21E-05,-0.002341958
-7.21E-05,-0.003010732
-7.20E-05,-0.002676345
-7.20E-05,-0.003345118
-7.20E-05,-0.002676345
-7.20E-05,-0.003345118
-7.20E-05,-0.003010732
-7.19E-05,-0.002007572
-7.19E-05,-0.003010732
-7.19E-05,-0.002341958
-7.19E-05,-0.001673185
-7.19E-05,-0.003345118
-7.18E-05,-0.002007572
-7.18E-05,-0.002007572
-7.18E-05,-0.004348278
-7.18E-05,-0.002007572
-7.18E-05,-0.002341958
-7.17E-05,-0.002676345
-7.17E-05,-0.003010732
-7.17E-05,-0.002007572
-7.17E-05,-0.003010732
-7.17E-05,-0.002676345
-7.16E-05,-0.002676345
-7.16E-05,-0.003345118
-7.16E-05,-0.002676345
-7.16E-05,-0.002676345
-7.16E-05,-0.002007572
-7.15E-05,-0.002341958
-7.15E-05,-0.002676345
-7.15E-05,-0.001673185
-7.15E-05,-0.001338799
-7.15E-05,-0.002341958
-7.14E-05,-0.001338799
-7.14E-05,-0.002341958
-7.14E-05,-0.002341958
-7.14E-05,-0.002676345
-7.14E-05,-0.003010732
-7.13E-05,-0.003345118
-7.13E-05,-0.002341958
-7.13E-05,-0.001338799
-7.13E-05,-0.003679505
-7.13E-05,-0.003345118
-7.12E-05,-0.001673185
-7.12E-05,-0.002676345
-7.12E-05,-0.003010732
-7.12E-05,-0.002007572
-7.12E-05,-0.003679505
-7.11E-05,-0.002341958
-7.11E-05,-0.004013892
-7.11E-05,-0.002341958
-7.11E-05,-0.004013892
-7.11E-05,-0.002676345
-7.10E-05,-0.002676345
-7.10E-05,-0.002676345
-7.10E-05,-0.003679505
-7.10E-05,-0.003345118
-7.10E-05,-0.002007572
-7.09E-05,-0.002007572
-7.09E-05,-0.002007572
-7.09E-05,-0.003345118
-7.09E-05,-0.002341958
-7.09E-05,-0.001673185
-7.08E-05,-0.002341958
-7.08E-05,-0.002007572
-7.08E-05,-0.002007572
-7.08E-05,-0.002341958
-7.08E-05,-0.001338799
-7.07E-05,-0.004013892
-7.07E-05,-0.003345118
-7.07E-05,-0.001673185
-7.07E-05,0.001001908
-7.07E-05,-0.002676345
-7.06E-05,-0.004682665
-7.06E-05,-0.004013892
-7.06E-05,-1.25E-06
-7.06E-05,-0.003679505
-7.06E-05,-0.004013892
-7.05E-05,-0.001004412
-7.05E-05,-0.002007572
-7.05E-05,-0.003010732
-7.05E-05,-0.002007572
-7.05E-05,-0.002007572
-7.04E-05,-0.002676345
-7.04E-05,-0.002676345
-7.04E-05,-0.002341958
-7.04E-05,-0.003679505
-7.04E-05,-0.003345118
-7.03E-05,-0.002676345
-7.03E-05,-0.002341958
-7.03E-05,-0.002007572
-7.03E-05,-0.002007572
-7.03E-05,-0.002676345
-7.02E-05,-0.004013892
-7.02E-05,-0.002676345
