time	V(voa)	V(vosc)
1.390413745153227e-03	-3.141658e+00	-3.504336e+00
1.391683360131764e-03	-3.164539e+00	-3.628335e+00
1.393852753163485e-03	-3.178258e+00	-3.701776e+00
1.395990856770322e-03	-3.164868e+00	-3.623886e+00
1.398228813807631e-03	-3.127215e+00	-3.419737e+00
1.398492306173950e-03	-3.121227e+00	-3.386350e+00
1.399019290906589e-03	-3.108723e+00	-3.309378e+00
1.399151037089748e-03	-3.105410e+00	-3.289369e+00
1.399414529456067e-03	-3.098660e+00	-3.247525e+00
1.399941514188706e-03	-3.084465e+00	-3.159435e+00
1.400995483653983e-03	-3.053516e+00	-2.968305e+00
1.403103422584537e-03	-2.983021e+00	-2.550665e+00
1.405726400353180e-03	-2.881266e+00	-1.995817e+00
1.408094064071757e-03	-2.758852e+00	-1.478114e+00
1.408799549118440e-03	-2.645951e+00	-1.321494e+00
1.409012929238619e-03	-2.565430e+00	-1.272824e+00
1.409620900312107e-03	-2.272392e+00	-1.126089e+00
1.410336927100243e-03	-1.896180e+00	-9.357697e-01
1.410715697730641e-03	-1.682137e+00	-8.274127e-01
1.411272637695950e-03	-1.348739e+00	-6.585662e-01
1.411847912308982e-03	-9.803826e-01	-4.721030e-01
1.412627894799298e-03	-4.422996e-01	-2.046324e-01
1.412745369572874e-03	-3.567899e-01	-1.624554e-01
1.412980319120027e-03	-1.838389e-01	-7.465763e-02
1.413450218214332e-03	1.742675e-01	1.046804e-01
1.413519975954931e-03	2.290072e-01	1.319075e-01
1.413659491436130e-03	3.391964e-01	1.875833e-01
1.413938522398527e-03	5.638666e-01	3.015579e-01
1.414496584323322e-03	1.030339e+00	5.401421e-01
1.415612708172912e-03	2.030834e+00	1.042413e+00
1.416149710481578e-03	2.543405e+00	1.295547e+00
1.416354709524881e-03	2.714148e+00	1.395402e+00
1.416467747510579e-03	2.750026e+00	1.450825e+00
1.416660019843338e-03	2.779946e+00	1.544070e+00
1.416753379181913e-03	2.791053e+00	1.588597e+00
1.416904089068330e-03	2.809572e+00	1.659455e+00
1.417093099151889e-03	2.829101e+00	1.746278e+00
1.417471119319009e-03	2.865363e+00	1.912659e+00
1.418170961758352e-03	2.922086e+00	2.200059e+00
1.419057565099729e-03	2.982985e+00	2.524187e+00
1.420390236115049e-03	3.056455e+00	2.954795e+00
1.420569666140752e-03	3.064865e+00	3.005972e+00
1.420928526192157e-03	3.080894e+00	3.098947e+00
1.421018241205008e-03	3.084669e+00	3.121279e+00
1.421197671230711e-03	3.092067e+00	3.163685e+00
1.421556531282116e-03	3.105962e+00	3.242480e+00
1.422274251384926e-03	3.130279e+00	3.386727e+00
1.422453681410628e-03	3.135518e+00	3.419053e+00
1.422812541462033e-03	3.145449e+00	3.475235e+00
1.423530261564843e-03	3.162143e+00	3.565740e+00
1.424965701770463e-03	3.183672e+00	3.669447e+00
1.427473992967567e-03	3.187830e+00	3.673332e+00
1.430180975564934e-03	3.152360e+00	3.475387e+00
1.432721173898999e-03	3.089742e+00	3.145681e+00
1.433087384836499e-03	3.078570e+00	3.085217e+00
1.433819806711499e-03	3.055423e+00	2.948562e+00
1.435284650461499e-03	3.004960e+00	2.655837e+00
1.438214337961499e-03	2.889928e+00	2.034472e+00
1.440327166143158e-03	2.787553e+00	1.571856e+00
1.441095670820283e-03	2.728328e+00	1.401551e+00
1.441450578573896e-03	2.658782e+00	1.322375e+00
